id;tps;delta;u;uplust;pi
12912;11.1762129011061;0;11;16;0.151146363145924
12913;11.1679991238638;0;0;5;0.0863098195602791
12914;11.1679991238638;0;0.5;5.5;0.0974433722451283
12915;11.1679991238638;0;1;6;0.10322712276226
12916;11.1679991238638;0;1.5;6.5;0.112486516187215
12917;11.1679991238638;0;2;7;0.15824561442068
12918;11.1679991238638;0;2.5;7.5;0.172529141318714
12919;11.1679991238638;0;3;8;0.186928539805734
12920;11.1679991238638;0;3.5;8.5;0.129742032435377
12921;11.1679991238638;0;4;9;0.101862222227782
12922;11.1679991238638;0;4.5;9.5;0.104782883549598
12923;11.1679991238638;0;5;10;0.107485607993821
12924;11.1679991238638;0;5.5;10.5;0.0938361307461403
12925;11.1679991238638;0;6;11;0.0950688793796081
12926;11.1679991238638;0;6.5;11.5;0.115815890196914
12927;11.1679991238638;0;7;12;0.118222245293715
12928;11.1679991238638;0;7.5;12.5;0.123358680631455
12929;11.1679991238638;0;8;13;0.1258161516505
12930;11.1679991238638;0;8.5;13.5;0.116699712156509
12931;11.1679991238638;0;9;14;0.0958466914749789
12932;11.1679991238638;0;9.5;14.5;0.0961567578244259
12933;11.1679991238638;0;10;15;0.0963854007488943
12934;11.1679991238638;0;10.5;15.5;0.0930997038751905
12935;11.1679991238638;0;11;16;0.093067292215199
12936;9.2897820611105;0;0;5;0.131817260587311
12937;9.2897820611105;0;0.5;5.5;0.148095453549372
12938;9.2897820611105;0;1;6;0.162615303397179
12939;9.2897820611105;0;1.5;6.5;0.158134379612333
12940;9.2897820611105;0;2;7;0.169395806020116
12941;9.2897820611105;0;2.5;7.5;0.107804541494046
12942;9.2897820611105;0;3;8;0.110804380950618
12943;9.2897820611105;0;3.5;8.5;0.101816800474217
12944;9.2897820611105;0;4;9;0.103218903818109
12945;9.2897820611105;0;4.5;9.5;0.125781276180451
12946;9.2897820611105;0;5;10;0.128400690984341
12947;9.2897820611105;0;5.5;10.5;0.0964514941752227
12948;9.2897820611105;0;6;11;0.0963985167245759
12949;9.2897820611105;0;6.5;11.5;0.0918395257155789
12950;9.2897820611105;0;7;12;0.12410576101951
12951;9.2897820611105;0;7.5;12.5;0.125393008835533
12952;9.2897820611105;0;8;13;0.0958269574811828
